sample	pop	perf	assay	run	url	date
ERS185495	CEU	ICMB	NA12144.4.M_120208_1	ERR188039	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188039/ERR188039_1.fastq.gz	120208
ERS185495	CEU	ICMB	NA12144.4.M_120208_1	ERR188039	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188039/ERR188039_2.fastq.gz	120208
ERS185323	CEU	ICMB	NA12155.4.M_120208_8	ERR188331	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188331/ERR188331_1.fastq.gz	120208
ERS185323	CEU	ICMB	NA12155.4.M_120208_8	ERR188331	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188331/ERR188331_2.fastq.gz	120208
ERS185353	CEU	ICMB	NA12156.4.M_120208_7	ERR188410	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188410/ERR188410_1.fastq.gz	120208
ERS185353	CEU	ICMB	NA12156.4.M_120208_7	ERR188410	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188410/ERR188410_2.fastq.gz	120208
ERS185288	CEU	ICMB	NA12762.4.M_120208_3	ERR188100	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188100/ERR188100_1.fastq.gz	120208
ERS185288	CEU	ICMB	NA12762.4.M_120208_3	ERR188100	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188100/ERR188100_2.fastq.gz	120208
ERS185496	CEU	ICMB	NA12777.4.M_120208_6	ERR188256	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188256/ERR188256_1.fastq.gz	120208
ERS185496	CEU	ICMB	NA12777.4.M_120208_6	ERR188256	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188256/ERR188256_2.fastq.gz	120208
